,Column Names,Column Values
0,Role,Test Manager
1,Competence,Data/IT
2,Publication date,20 Mar 2023
3,Country,Sweden
4,City,Gothenburg
5,Application deadline,20 Apr 2023
6,Role,Backend Developer
7,Competence,Data/IT
8,Publication date,20 Mar 2023
9,Country,Sweden
10,City,Gothenburg
11,Application deadline,20 Apr 2023
12,Role,IT Consultant
13,Competence,Data/IT
14,Publication date,16 Mar 2023
15,Country,Sweden
16,City,Linkoping
17,Application deadline,16 Apr 2023
18,Role,Data Science
19,Competence,Data/IT
20,Publication date,14 Mar 2023
21,Country,Czech Republic
22,City,Prague
23,Application deadline,13 Apr 2023
24,Role,Data Science
25,Competence,Data/IT
26,Publication date,14 Mar 2023
27,Country,Czech Republic
28,City,Prague
29,Application deadline,14 Apr 2023
30,Role,Data Science
31,Competence,Data/IT
32,Publication date,14 Mar 2023
33,Country,Czech Republic
34,City,Prague
35,Application deadline,13 Apr 2023
36,Role,System Developer
37,Competence,Data/IT
38,Publication date,10 Mar 2023
39,Country,Sweden
40,City,Gothenburg
41,Application deadline,10 Apr 2023
42,Role,Computer Engineers
43,Competence,Data/IT
44,Publication date,10 Mar 2023
45,Country,Sweden
46,City,Gothenburg
47,Application deadline,10 Apr 2023
48,Role,Front-end Developer
49,Competence,Data/IT
50,Publication date,10 Mar 2023
51,Country,Sweden
52,City,Gothenburg
53,Application deadline,10 Apr 2023
54,Role,Operations technician
55,Competence,Data/IT
56,Publication date,8 Mar 2023
57,Country,Sweden
58,City,Malmo
59,Application deadline,7 Apr 2023
60,Role,Key Account Manager
61,Competence,Försäljning & inköp
62,Publication date,7 Mar 2023
63,Country,Sweden
64,City,Malmo
65,Application deadline,6 Apr 2023
66,Role,IT Engineers
67,Competence,Data/IT
68,Publication date,6 Mar 2023
69,Country,Czech Republic
70,City,Prague
71,Application deadline,31 May 2023
72,Role,Backend Developer
73,Competence,Data/IT
74,Publication date,6 Mar 2023
75,Country,Sweden
76,City,Gothenburg
77,Application deadline,6 Apr 2023
78,Role,Software Engineer
79,Competence,Data/IT
80,Publication date,2 Mar 2023
81,Country,Sweden
82,City,Gothenburg
83,Application deadline,2 Apr 2023
84,Role,IT Consultant
85,Competence,Data/IT
86,Publication date,2 Mar 2023
87,Country,Sweden
88,City,Stockholm
89,Application deadline,31 Mar 2023
90,Role,Others
91,Competence,Data/IT
92,Publication date,1 Mar 2023
93,Country,Sweden
94,City,Gothenburg
95,Application deadline,1 Apr 2023
96,Role,Network technician
97,Competence,Data/IT
98,Publication date,28 Feb 2023
99,Country,Sweden
100,City,Gothenburg
101,Application deadline,28 Mar 2023
102,Role,Business Unit Manager
103,Competence,Management
104,Publication date,28 Feb 2023
105,Country,Sweden
106,City,Gothenburg
107,Application deadline,28 Mar 2023
108,Role,Software Engineer
109,Competence,Data/IT
110,Publication date,27 Feb 2023
111,Country,Sweden
112,City,Malmo
113,Application deadline,27 Mar 2023
114,Role,Software Engineer
115,Competence,Data/IT
116,Publication date,27 Feb 2023
117,Country,Sweden
118,City,Malmo
119,Application deadline,27 Mar 2023
120,Role,IT Consultant
121,Competence,Data/IT
122,Publication date,27 Feb 2023
123,Country,Sweden
124,City,Gothenburg
125,Application deadline,27 Mar 2023
126,Role,System Developer
127,Competence,Data/IT
128,Publication date,25 Feb 2023
129,Country,Sweden
130,City,Stockholm
131,Application deadline,25 Mar 2023
132,Role,IT support
133,Competence,Data/IT
134,Publication date,24 Feb 2023
135,Country,Sweden
136,City,Gothenburg
137,Application deadline,24 Mar 2023
138,Role,IT Consultant
139,Competence,Data/IT
140,Publication date,24 Feb 2023
141,Country,Sweden
142,City,Boras
143,Application deadline,24 Mar 2023
144,Role,System Developer
145,Competence,Data/IT
146,Publication date,24 Feb 2023
147,Country,Sweden
148,City,Karlskrona
149,Application deadline,24 Mar 2023
150,Role,IT support
151,Competence,Data/IT
152,Publication date,24 Feb 2023
153,Country,Sweden
154,City,Gothenburg
155,Application deadline,1 May 2023
156,Role,Sales Manager
157,Competence,Försäljning & inköp
158,Publication date,23 Feb 2023
159,Country,Sweden
160,City,Stockholm
161,Application deadline,29 Mar 2023
162,Role,IT Consultant
163,Competence,Data/IT
164,Publication date,23 Feb 2023
165,Country,Sweden
166,City,Gothenburg
167,Application deadline,23 Mar 2023
168,Role,Computer Engineers
169,Competence,Data/IT
170,Publication date,23 Feb 2023
171,Country,Sweden
172,City,Stockholm
173,Application deadline,23 May 2023
174,Role,Software Engineer
