,title,lat,lon
0,Acton Town,51.5025,-0.278126
1,Aldgate,51.51394,-0.07537
2,Aldgate East,51.51514,-0.07178
3,Alperton,51.54097,-0.30061
4,Amersham,51.67435,-0.60732
5,Angel,51.53253,-0.10579
6,Archway,51.56536,-0.13474
7,Arnos Grove,51.61625,-0.13355
8,Arsenal,51.55847,-0.10561
9,Baker Street,51.52265,-0.15704
10,Balham,51.44344113,-0.152945844
11,Bank,51.5134047,-0.08905843
12,Barbican,51.520865,-0.097758
13,Barking,51.54079,0.08018
14,Barkingside,51.58543,0.08854
15,Barons Court,51.490281,-0.21434
16,Bayswater,51.51224,-0.187569
17,Becontree,51.54029,0.1262
18,Belsize Park,51.55036,-0.16465
19,Bermondsey,51.49813,-0.0635
20,Bethnal Green,51.52718,-0.05504
21,Blackfriars,51.5114403,-0.1041905
22,Blackhorse Road,51.58698,-0.04104
23,Bond Street,51.51461,-0.14897
24,Borough,51.50095,-0.09446
25,Boston Manor,51.495371,-0.325573
26,Bounds Green,51.607,-0.12418
27,Bow Road,51.52709,-0.02482
28,Brent Cross,51.57693,-0.21414
29,Brixton,51.46239,-0.115421
30,Bromley-by-Bow,51.52466,-0.01282
31,Buckhurst Hill,51.62611,0.04705
32,Burnt Oak,51.603,-0.26427
33,Caledonian Road,51.5485,-0.11802
34,Camden Town,51.5393,-0.14316
35,Canada Water,51.49787,-0.04967
36,Canary Wharf,51.50362,-0.01987
37,Canning Town,51.51141,0.09047
38,Cannon Street,51.51141,-0.09047
39,Canons Park,51.6081,-0.29487
40,Chalfont & Latimer,51.66822,-0.56053
41,Chalk Farm,51.5439,-0.15384
42,Chancery Lane,51.51836,-0.11115
43,Charing Cross,51.507108,-0.122963
44,Chesham,51.70522733,-0.610986426
45,Chigwell,51.61795,0.07511
46,Chiswick Park,51.49466,-0.26866
47,Chorleywood,51.65429872,-0.518373353
48,Clapham Common,51.46156,-0.13802
49,Clapham North,51.46522,-0.1295
50,Clapham South,51.45292257,-0.147562148
51,Cockfosters,51.65117,-0.14811
52,Colindale,51.59556,-0.24996
53,Colliers Wood,51.41823649,-0.17800983
54,Covent Garden,51.51308,-0.12427
55,Croxley,51.64733268,-0.441479115
56,Dagenham East,51.54396,0.16439
57,Dagenham Heathway,51.54173,0.14543
58,Debden,51.64535,0.08364
59,Dollis Hill,51.5525,-0.23884
60,Ealing Broadway,51.51482,-0.30118
61,Ealing Common,51.50997,-0.28825
62,Earl's Court,51.491521,-0.193906
63,East Acton,51.51753,-0.24827
64,East Finchley,51.5872974705487,-0.16495632312818
65,East Ham,51.53931,0.0526
66,East Putney,51.459015,-0.211138
67,Eastcote,51.57676,-0.39629
68,Edgware,51.61385,-0.27515
69,Edgware Road,51.520195,-0.166986
70,Elephant & Castle,51.49467,-0.10047
71,Elm Park,51.54969,0.19779
72,Embankment,51.50717,-0.12195
73,Epping,51.69365,0.11495
74,Euston,51.52774,-0.13303
75,Euston Square,51.52584,-0.1357
76,Fairlop,51.59634,0.09125
77,Farringdon,51.520362948,-0.105126482
78,Finchley Central,51.60102,-0.1924
79,Finchley Road,51.546701,-0.179867
80,Finsbury Park,51.56498,-0.10543
81,Fulham Broadway,51.48033,-0.19488
82,Gants Hill,51.57649,0.06637
83,Gloucester Road,51.49408266,-0.17295341
84,Golders Green,51.57249,-0.1941
85,Goldhawk Road,51.501248,-0.226776
86,Goodge Street,51.5206,-0.13441
87,Grange Hill,51.61326,0.09258
88,Great Portland Street,51.52391,-0.14397
89,Greenford,51.542346,-0.345903
90,Gunnersbury,51.49126844,-0.275554312
91,Green Park,51.50674,-0.14276
92,Hainault,51.60288,0.09332
93,Hammersmith,52.217339,-0.222825
94,Hampstead,51.55645,-0.17851
95,Hanger Lane,51.53,-0.2929
96,Harlesden,51.53628278,-0.257622488
97,Harrow & Wealdstone,51.59205973,-0.334725352
98,Harrow-on-the-Hill,51.579335,-0.337052
99,Hatton Cross,51.466988,-0.423035
100,Heathrow Terminal 5,51.4715,0.488
101,Heathrow Terminals 123,51.4712899,-0.4527438
102,Heathrow Terminal 4,51.4594777,-0.44689658
103,Hendon Central,51.58346,-0.22653
104,High Barnet,51.6506519031751,-0.194138165994553
105,High Street Kensington,51.5003459144,-0.192351664
106,Highbury & Islington,51.54502,-0.10752
107,Highgate,51.57722,-0.14553
108,Hillingdon,51.55364,-0.45062
109,Holborn,51.51711,-0.12055
110,Holland Park,51.50722,-0.20553
111,Holloway Road,51.5529,-0.11278
112,Hornchurch,51.55387,0.21797
113,Hounslow Central,51.47129,-0.365853
114,Hounslow West,51.4715,-0.386471
115,Hounslow East,51.47354,-0.356
116,Hyde Park Corner,51.50313,-0.15278
117,Ickenham,51.56147,-0.44257
118,Kennington,51.48823,-0.10587
119,Kensal Green,51.53060655,-0.224253545
120,Kentish Town,51.53060655,-0.14067
121,Kenton,51.58173809,-0.316870809
122,Kew Gardens,51.58173809,-0.316870809
123,Kilburn,51.5471715,-0.205002
124,Kilburn Park,51.53495818,-0.193963023
125,King's Cross St. Pancras,51.53057,-0.12399
126,Kingsbury,51.58422,-0.2788
127,Knightsbridge,51.50169,-0.1603
128,Ladbroke Grove,51.5173,-0.21114
129,Lambeth North,51.49894,-0.11216
130,Lancaster Gate,51.512083,-0.175067
131,Latimer Road,51.513125,-0.218428
132,Leicester Square,51.51148,0.12849
133,Leyton,51.556483,-0.005669
134,LeytonStone,51.56828,0.00739
135,Liverpool Street,51.517675,-0.082458
136,London Bridge,51.505353,-0.084826
137,Loughton,51.6417,0.05583
138,Maida Vale,51.52989409,-0.185888819
139,Manor House,51.57038,-0.09601
140,Mansion House,51.51256,-0.09397
141,Marble Arch,51.513597,-0.15869195
142,Marylebone,51.52266,-0.162996
143,Mile End,51.525306,-0.033471
144,Mill Hill East,51.60892,-0.20965
145,Monument,51.510165,-0.085991
146,Moor Park,51.62970512,-0.432070848
147,Moorgate,51.51817,-0.08859
148,Morden,51.40222413,-0.194599126
149,Mornington Crescent,51.53427,-0.13901
150,Neasden,51.55427,-0.25042
151,Newbury Park,51.57565,0.08927
152,North Acton,51.5237,-0.26019
153,North Ealing,51.51807,-0.28838
154,North Greenwich,51.50056,0.0036
155,North Harrow,51.58503612,-0.362595264
156,North Wembley,51.56258091,-0.304072648
157,Northfields,51.499856,-0.313188
158,Northholt,51.548054,-0.368257
159,Northwick Park,51.57850117,-0.317857023
160,Northwood,51.61098984,-0.423584422
161,Northwood Hills,51.60043795,-0.408812575
162,Notting Hill Gate,51.509028,-0.1962847
163,Oakwood,51.64739,-0.13192
164,Old Street,51.52618,-0.08751
165,Osterly,51.481569,-0.35196
166,Oval,51.48214,-0.11284
167,Oxford Circus,51.51517,-0.14119
168,Paddington,51.5151846554,-0.17553880792
169,Park Royal,51.52671,-0.28417
170,Parsons Green,51.47488,-0.20205
171,Perivale,51.536673,-0.32391
172,Piccadilly Circus,51.51022,-0.13392
173,Pimlico,51.489081,-0.133037
174,Pinner,51.59270271,-0.380539158
175,Plaistow,51.53122,0.01659
176,Preston Road,51.57229051,-0.295813875
177,Putney Bridge,51.46868,-0.2088141
178,Queens Park,51.534179,-0.205257721
179,Queensbury,51.59437,-0.28655
180,Queensway,51.59437,-0.18705
